x[mm],y[mm]
1.423393529373382762e+02,2.017613891705637741e+01
1.455617012989701209e+02,2.203973978735790240e+01
1.466321487323406245e+02,2.762418804568129360e+01
1.509304475581030829e+02,2.762736522197199918e+01
1.520063980222337534e+02,2.576694152796115134e+01
1.552287463838655412e+02,2.763054239826270475e+01
1.487868011759819638e+02,2.018090468150721506e+01
1.487840496606019087e+02,2.390334065765954108e+01
1.455589497835900374e+02,2.576217576352506455e+01
1.487812981452218537e+02,2.762577663382789694e+01
1.487785466298417987e+02,3.134821260999375170e+01
1.520008949914736149e+02,3.321181348029533353e+01
1.509249445273429728e+02,3.507223717430620979e+01
1.519981434760935883e+02,3.693424945646243884e+01
1.552232433531054312e+02,3.507541435058037393e+01
1.552259948684854862e+02,3.135297837442981006e+01
1.573751442813666870e+02,3.135456696257516285e+01
1.595270452096279712e+02,2.763371957455335348e+01
1.584510947454973575e+02,2.949414326856428659e+01
1.600000000000000000e+02,3.038993132632873184e+01
9.077352460508905097e+01,1.525832920732383968e+00
9.292267401797030857e+01,1.527421508877736755e+00
9.380603724683624023e+01,0.000000000000000000e+00
9.077465245598445165e+01,0.000000000000000000e+00
9.506907191547148273e+01,5.251446073190194852e+00
9.721822132835271191e+01,5.253034661324178956e+00
9.721546981297265688e+01,8.975470637502652949e+00
1.004378181746044447e+02,1.083907150780423478e+01
1.015137686387351152e+02,8.978647813793386945e+00
1.004405696899844997e+02,7.116635531637129475e+00
1.036656695669963710e+02,5.257800425785077891e+00
1.058120674644975452e+02,8.981824990084092519e+00
1.068880179286281873e+02,7.121401296073187837e+00
1.144031620852623519e+02,1.643305129499968587e+01
1.165523114981435810e+02,1.643463988314424284e+01
1.165495599827635260e+02,2.015707585931214396e+01
1.197719083443953423e+02,2.202067672961372580e+01
1.208478588085260128e+02,2.016025303560290638e+01
1.197746598597753973e+02,1.829824075344662049e+01
1.229970082214072420e+02,2.016184162372182698e+01
1.229942567060271870e+02,2.388427759991530763e+01
1.262166050676589748e+02,2.574787847021688947e+01
1.272925555317896169e+02,2.388745477620601321e+01
1.294417049446708461e+02,2.388904336435761877e+01
1.294444564600509295e+02,2.016660738818426069e+01
1.326695563370628008e+02,1.830777228231879405e+01
1.401874520090769920e+02,2.389698630507812993e+01
1.315908543575520753e+02,2.389063195249671878e+01
1.326640533063026623e+02,2.575264423465294783e+01
1.358891531833145336e+02,2.389380912878742436e+01
1.391115015449463499e+02,2.575740999908900619e+01
1.444802478040793403e+02,3.134503543370304612e+01
1.423338499065781662e+02,2.762101086939610184e+01
1.423310983911981111e+02,3.134344684555769334e+01
1.455534467528299274e+02,3.320704771585927517e+01
1.423283468758180277e+02,3.506588282174588755e+01
1.423255953604380011e+02,3.878831879789190396e+01
1.444747447733192587e+02,3.878990738603725674e+01
1.455506952374498724e+02,3.692948369202638048e+01
1.487730435990816886e+02,3.879308456232796232e+01
1.530713424248441470e+02,3.879626173861866789e+01
1.573696412506066054e+02,3.879943891490937347e+01
1.584455917147372475e+02,3.693901522089849720e+01
1.600000000000000000e+02,3.783798588084064818e+01
7.143117988915804517e+01,1.511535627424208883e+00
7.405371125340997196e+01,0.000000000000000000e+00
6.881758680160477581e+01,0.000000000000000000e+00
6.498373165051438605e+01,1.506769862988150521e+00
6.713288106339564365e+01,1.508358451133503308e+00
6.800521943491658305e+01,0.000000000000000000e+00
6.498484541055719887e+01,0.000000000000000000e+00
8.432607636644539184e+01,1.521067156296325606e+00
8.696514504080954566e+01,0.000000000000000000e+00
8.169600233228258901e+01,0.000000000000000000e+00
7.572947871492050353e+01,1.514712803714914457e+00
8.002777754068296190e+01,1.517889980005620032e+00
8.090562834087640454e+01,0.000000000000000000e+00
7.485645107477870397e+01,0.000000000000000000e+00
8.432332485106533682e+01,5.243503132463430916e+00
8.647247426394656600e+01,5.245091720608783703e+00
8.754567321269715308e+01,7.107104002765012751e+00
9.077077308970902436e+01,5.248268896899489278e+00
9.399312145134081220e+01,7.111869767201071113e+00
9.399036993596078560e+01,1.083430574336817642e+01
9.506356888471137268e+01,1.269631802552440547e+01
9.721271829759260186e+01,1.269790661364486084e+01
9.720996678221254683e+01,1.642034258983686357e+01
1.004323151438443347e+02,1.828394346013847382e+01
1.015082656079750052e+02,1.642351976612756914e+01
1.036574150208562344e+02,1.642510835425154880e+01
1.036601665362362894e+02,1.270267237810581662e+01
1.068852664132481323e+02,1.084383727224029315e+01
1.058065644337374351e+02,1.642669694241827472e+01
1.068797633824880222e+02,1.828870922457450376e+01
