x,y
445,180
447,611
447,627
447,640
450,871
451,636
451,859
451,865
451,869
453,679
454,98
454,205
455,345
456,567
458,65
457,220
461,218
462,41
463,68
462,220
462,293
462,295
462,333
463,533
462,823
463,384
464,809
468,68
467,682
467,9
467,301
467,893
468,309
468,686
469,504
469,518
472,809
473,150
473,316
474,561
473,911
477,449
477,696
477,899
478,911
479,697
479,838
483,449
482,700
484,154
484,458
485,522
484,551
484,594
485,96
485,788
485,820
486,374
487,390
487,664
489,536
489,744
490,380
490,780
491,51
492,134
491,600
491,752
492,131
492,192
493,121
496,4
496,190
496,606
498,740
497,821
500,136
499,327
500,421
502,84
501,567
502,577
501,611
503,168
502,331
504,0
504,757
504,843
505,561
506,683
505,821
507,164
507,402
508,444
507,509
507,691
507,773
508,504
508,843
510,792
512,402
512,406
512,502
512,627
512,752
513,773
513,158
513,243
513,394
513,398
513,448
514,569
515,797
516,495
517,294
518,161
518,164
518,575
518,759
518,764
519,314
519,497
519,633
521,295
520,412
523,137
523,471
522,764
524,149
524,634
524,702
525,112
525,785
525,798
529,826
530,242
530,244
530,447
530,618
530,708
530,723
530,843
532,776
534,612
534,776
535,7
536,238
535,452
536,520
536,631
535,804
536,347
536,384
536,399
536,405
536,718
537,218
537,414
538,434
538,457
540,232
540,300
540,350
540,722
541,843
541,0
542,218
541,473
541,476
541,526
542,588
541,815
542,351
543,63
543,724
545,415
545,815
548,291
547,710
547,728
547,733
547,789
547,792
548,356
548,429
548,679
552,100
552,476
552,668
553,532
553,595
556,392
556,93
556,299
557,211
557,902
558,338
559,612
558,747
558,815
558,899
559,365
560,380
559,724
559,752
561,396
563,362
563,730
564,191
564,399
564,577
564,745
564,881
564,884
565,856
567,63
566,326
567,329
566,425
567,393
568,579
568,412
569,69
570,107
569,583
569,804
569,832
571,118
570,901
571,385
574,229
575,494
575,501
575,809
576,900
578,338
577,718
579,308
578,486
580,867
581,360
583,480
581,623
582,141
582,175
582,471
583,543
584,276
584,350
585,327
586,905
586,412
586,662
586,729
587,143
587,150
587,154
587,160
587,628
587,659
587,769
587,772
589,693
588,723
589,265
590,1
590,186
592,411
591,707
591,894
592,652
592,703
594,12
